-,2021Q1,2021Q2,2021Q3,2021Q4,
Amadora,9.885360134138136,9.860652928603496,9.590452623696049,8.600744468808935,
Cascais,11.280760890501321,11.593534616600955,11.39165301717122,11.527895819667021,
Lisboa,11.623205951677866,12.066842270893174,11.699979074238382,11.792855103342589,
Loures,8.977647844362462,9.049186450489703,7.665136093828085,7.520974967626645,
Mafra,7.843583015147968,7.852485825715041,6.001327052749059,6.521656013959243,
Odivelas,8.657711513000596,8.526035259130545,7.97720762037892,8.065870392610528,
Oeiras,11.292833852478408,11.643903678071775,10.725703617388888,9.89337398615222,
Sintra,7.945903197849477,8.324188722679454,7.290562975120698,6.429640218344433,
VilaFrancaDeXira,7.270015795520555,7.609459230866715,6.917153421883709,6.5500034652122645,
Alcochete,5.900478083785552,5.672507058523967,6.2230969775807425,4.215410148440801,
Almada,9.145612353835597,9.587131973435289,8.747688176930081,7.821977804788372,
Barreiro,7.64852871900418,7.736179759081398,7.113427959964925,6.550648783210096,
Moita,6.039224750298783,6.617483040208952,6.4589862362241375,5.585184997883469,
Montijo,6.393843362245118,6.4688934452119895,6.846119490010143,5.932516624345412,
Palmela,6.733870320076984,6.281045502023499,6.046954145340756,5.2540652410455895,
Seixal,6.971269920084602,7.204477469281112,6.38657824974601,6.36384879841627,
Sesimbra,6.55330360081627,5.105254292246337,4.484022619016339,6.0287313556087465,
Setubal,6.888015977039598,6.8927620118678234,6.052150166791427,6.120195141965318,
